team_id,team_name,student_ids,state
1,Washington Gold 1,7|24|43|325,
2,San Diego A1,2|28|377,
3,LV Fire,1|314,
4,AlphaStar Academy AIR,9,
5,All Aces Dream,8|13|46,
6,St. Mark's School of Texas Team M,14,
7,PEA Chestnuts,3|27|381,
8,Lexington Alpha,35|50|242|263,
9,Lexington Beta,310,
10,Florida Alligators,226|244,
11,AlphaStar Academy FIRE,17,
12,XuanWu,374|380,
13,Mad Hatter,217|245,
14,MN gold,6,
15,Mass ARML Moons,375,
16,dinglebinglers,343,
17,QingLong,376,
18,White Rabbit,378,
19,Thomas Jefferson High School for Science and Technology A,10,
20,San Diego A2,379,
21,Random Math Team Blue,38,
22,Utah Arches,4,
23,Connecticut Cyborgs,262,
24,Washington Gold 2,22|382,
25,121WA,383,
26,Texas Momentum A,229,
27,Texas Momentum B,16,
28,Harker Omega,19,
29,Leading Aces Academy 1,384|3661,
30,NC School of Science & Math - Team alpha,12,
31,Individuals 1,30,
32,Upstate New York Math Team,42,
