team_id,team_name,student_ids,state
1,BCA 2,805|2270|2272|2274|2284,New Jersey
4,Cougz,2256|2260|2275|2290,
5,CRH Math Team,949|2258|2279|2488,New Jersey
7,GVHS Math Club,2246|2268|2297,Pennsylvania
8,Hotchkiss,1069|1652|2228|2248|2285,Connecticut
9,Individuals Team 162,2206|2262|2287,New Jersey
10,Jericho Mathletes,738|7027|1464|2222|2239|2267,New York
11,Knights B,362|1089|2263|2264|2277,New Jersey
12,MHSProfessionalJobbers,1038|2237|2289,
13,Millburn Mathematical Madpeople,2175|2201|2207|2273|2283|2296,New Jersey
14,Pingry Blue,407|1055|1623|2164|2257|6492|2281|2294,New Jersey
15,PHS Math Team,1084|2216,New Jersey
16,PRISMS Baby Falcons,2276,New Jersey
17,PRISMS Young Falcons,1406|2205|2254|2280,New Jersey
18,Sierra Canyon School,96|1940|1962|1964|2186|2265|2288,California
19,Ward Melville Math Team,548|582|1539|1617|2406,New York
20,Wellesley Raiders,263|2282,Massachusetts
22,MCA Underdogs,30|958|2271|2286|2292,New Jersey
23,Fat L Club,1355|1456|2291,New Jersey
26,CCC,1078|1558|1567|2261,
27,Ridge Mu Alpha Theta,2008|2259|2295,
28,Charter,493|2266|2278,
29,Pingry White Team,2227,New Jersey
30,Tenafly High School,2293,New Jersey
