team_id,team,student_ids,state
1,AlphaStar Academy AIR,135|181|183|192|452|828|960,California
2,AlphaStar Academy EARTH,945|1130,California
3,AlphaStar Academy FIRE,81|90|122,California
4,Bergen County Academies Team 1,92|134|1438,New Jersey
5,BISV Bobcats A,1165,California
6,Burgas A,154,Bulgaria
7,Burgas B,1507,Bulgaria
8,EddieSolo,123|198,Massachusetts
9,Florida Alligators,93|115|145|159,Florida
10,Gunn Red,1510,California
11,Harker Omega,1293|1490,California
12,Individuals 3,1373,California
13,Knights Alpha,1508,California
14,Lehigh Valley Fire,57|91|132|139|1196|1512,New Jersey
15,Lehigh Valley Ice,1|62|103|1511,New Jersey
16,Lexington Alpha,144|184|1491,Massachusetts
17,Lion,457,New York
18,Mathematical Admirers of Chdenmathcounts,1198|1495,Arizona
19,MN All-State Math Team 1 - Gold,187|194|1500|1518,Minnesota
20,Montgomery County Team 1,150|1173|1506,Maryland
21,Motown All Stars,59|95|119|177,Michigan
22,NC School of Science & Math - Team alpha,1457,North Carolina
23,NNHS Math TeamA,1504,Nebraska
24,No Coast Best Coast,110|882,Illinois
25,OHS Pixels Hardcore Team 1,1181,California
26,Ontario Math Circles,449,Canada
27,Orange County Math Circle BrawlphaStars,180|196|200,California
28,OS Betelgeuse,1168|1513,Canada
29,Pentagon Hexagon Oregon A,149|1494,Oregon
30,Pirates A,125|215,New Jersey
31,Pleasanton A,199|202|1499,California
32,Populus-3,1517,
33,Random Math Team C,117|141|169|454|1431,California
34,Raritan Valley Math Team - Euler,434,New Jersey
35,San Diego A1,98|155|446|1515,California
36,San Diego A2,116|444|463|1187|1501|1516,California
37,Scarecrow,1503|2076,New Jersey
38,Spice,1109|1162|1492,California
39,Texas Momentum A,151|173|174|191|1195|1502,Texas
40,Tin Man,175|179|456|1497|1514,New York
41,TJ-A,140|201|294,Virginia
42,TJ-B,1505,Virginia
43,University of Toronto Schools A,1493,"Ontario, Canada"
44,Washington Gold 1,107|138|190|1138|1185,Washington
45,Washington Gold 2,189|638,Washington
46,Washington Gold 3,1496,Washington
47,Western Mass ARML Stars,178|197,Massachusetts
48,Wild Boars,1498,Washington
49,Yellowjackets,451,Michigan
50,Yu's Buffalo,344,Pennsylvania
