team_id,team,student_ids,state
1,Buchholz A1,1411,Florida
2,Central Jersey B1,434,New Jersey
3,Chicago A1,1180,Illinois
4,Colorado A1,462,Colorado
5,Connecticut B1,89,Connecticut
6,Florida A1,72|1166,Florida
7,Las Vegas Math Circle B1,402|1413,Nevada
8,Lehigh Valley A1,1|57|91|132,Pennsylvania
9,Lehigh Valley A2,171|2489,Pennsylvania
10,Lexington A1,144|184,Massachusetts
11,Michigan All Stars A1,119|2491,Michigan
12,Montgomery A1,150|1173,Maryland
13,NC A1,450,North Carolina
14,NC A2,1412,North Carolina
15,NYC Math Team - Tin Man A1,175|456,New York
16,Ohio B1,953,Ohio
17,Oklahoma All-Stars B1,2490,Oklahoma
18,Orange County A1,180,California
19,Phillips Academy B1,878,New Hampshire
20,Pine Views B1,32,Florida
21,SFBA/NorCal A1,81|90|99|135|162|192|452|482|1130|1165,California
22,SoCal ARML A1,96,California
23,Texas A1,56|173|191,Texas
24,Texas A2,1108,Texas
25,Thomas Jefferson A1,140|1127,Virginia
26,Utah B1,4,Utah
27,WWP^2 A1,125|156,New Jersey
28,Washington A1,1185,Washington
29,Wild Wild West B1,474,Arizona
