team_id,team_name,student_ids,state
1,Texas Momentum A,151|173|174|191|1195,
2,Random Math Team C,117|141|169|1431,
3,Tin Man,175|179,
4,San Diego A1,155|446,
5,AlphaStar Academy AIR,135|181|192|960,
6,Lexington Alpha,144|184,
7,Washington Gold 1,190|1185,
8,Motown All Stars,59|95|177,
9,Yu's Buffalo,344,
10,OS Betelgeuse,1168,
11,Montgomery County Team 1,1173|1506,
12,Lehigh Valley Fire,91|132|139|1512,
13,Lehigh Valley Ice,1|103|1511,
14,TJ-A,140|201|294,
15,Washington Gold 2,189,
16,Orange County Math Circle BrawlphaStars,180|200,
17,San Diego A2,463,
18,Bergen County Academies Team 1,92|134,
19,Burgas B,1507,
20,Knights Alpha,1508,
21,Gunn Red,1510,
22,Western Mass ARML Stars,178,
