Country Name,Country Code,Contestant Code,Contestant,P1,P2,P3,P4,P5,P6,Total,Award,Extra Awards,Rank
People's Republic of China,CHN,33050,Haojia Shi,7,7,7,7,7,7,42,Gold medal,,1
C21,C21,34693,Ivan Chasovskikh,7,7,6,6,7,7,40,Gold medal,,2
United States of America,USA,33503,Alexander Wang,7,7,3,7,7,7,38,Gold medal,,3
Japan,JPN,33069,Satoshi Kano,7,7,2,7,7,7,37,Gold medal,,4
Hungary,HUN,33259,László Bence Simon,7,7,7,7,7,0,35,Gold medal,,5
India,IND,31724,Adhitya Mangudy Venkata Ganesh,7,7,4,7,7,3,35,Gold medal,,5
People's Republic of China,CHN,33925,Qiming Xu,7,7,7,7,7,0,35,Gold medal,,5
Republic of Korea,KOR,34550,Hyeongjoe Chu,7,2,7,7,7,5,35,Gold medal,,5
United Kingdom,UNK,30257,Alex Chui,7,7,2,7,7,5,35,Gold medal,,5
United States of America,USA,34150,Jessica Wan,7,7,5,7,7,2,35,Gold medal,,5
Belarus,BLR,33542,Mikhail Raikhman,7,7,6,7,7,0,34,Gold medal,,11
Lithuania,LTU,30947,Paulius Aleknavičius,7,7,6,7,7,0,34,Gold medal,,11
Türkiye,TUR,30841,Barış Koyuncu,7,7,2,7,5,5,33,Gold medal,,13
Belarus,BLR,31941,Matvey Vylegzhanin,7,7,2,7,7,2,32,Gold medal,,14
India,IND,33405,Ananda Bhaduri,7,7,2,7,7,2,32,Gold medal,,14
Singapore,SGP,34078,Yihan Yang,7,7,2,7,7,2,32,Gold medal,,14
Türkiye,TUR,31654,Mehmet Can Baştemir,7,7,2,7,7,2,32,Gold medal,,14
United States of America,USA,34147,Linus Tang,7,7,3,7,7,1,32,Gold medal,,14
Belarus,BLR,33546,Ivan Korshunau,7,7,2,7,7,1,31,Gold medal,,19
Bosnia and Herzegovina,BIH,31249,Benjamin Mujkić,7,7,2,7,7,1,31,Gold medal,,19
C25,C25,34697,Egor Saprunov,7,7,4,5,7,1,31,Gold medal,,19
India,IND,34561,Kanav Talwar,7,7,1,7,7,2,31,Gold medal,,19
Israel,ISR,34630,Nadav Dan Tamari,7,6,2,7,7,2,31,Gold medal,,19
Mexico,MEX,31780,Rogelio Guerrero Reyes,7,7,2,7,7,1,31,Gold medal,,19
North Macedonia,MKD,30465,Damjan Davkov,7,7,1,7,7,2,31,Gold medal,,19
Poland,POL,33616,Konstanty Smolira,7,7,3,7,7,0,31,Gold medal,,19
United Kingdom,UNK,34575,Samuel Sturge,7,7,2,7,7,1,31,Gold medal,,19
United States of America,USA,34146,Krishna Pothapragada,7,6,2,7,7,2,31,Gold medal,,19
Australia,AUS,34175,Xiangyue (Laura) Nan,7,7,1,7,7,1,30,Gold medal,,29
Belarus,BLR,31944,Pavel Tsitou,7,7,0,7,7,2,30,Gold medal,,29
