team_id,team_name,student_ids,bmt_student_ids,school,state
001,AlphaStar DELTA,322|358|906|1715|1716|5645,001A|001E|001F|001B|001C|001D,AlphaStar Academy,California
002,,1717|1718|1719|1720|1793|1794,002A|002C|002D|002F|002B|002E,,California
003,AlphaStar SIGMA,9|25|58|433|1058|1250,003E|003B|003C|003F|003A|003D,AlphaStar Academy,California
004,AlphaStar ZETA,972|1076|1823|1824|1950,004C|004A|004D|004E|004B,AlphaStar Academy,California
005,AlphaStar GAMMA,341|1359|1825|1935|1947|1951,005A|005E|005C|005D|005B|005F,AlphaStar Academy,California
006,,931|1721|1722,006D|006A|006B,,California
007,AlphaStar PI,90|99|118|331|402|945,007D|007B|007A|007F|007C|007E,AlphaStar Academy,California
008,,2717|1723|1724|1725|1795,008F|008B|008D|008E|008C,,California
010,,1726|1826,010B|010A,,California
011,BISV Bobcats A,1249|1361|1820|1827|1828|1829,011C|011F|011E|011A|011B|011D,Basis Independent Silicon Valley,California
012,,1727|1728|1729|1796,012B|012C|012D|012A,,California
013,,1730|1731,013B|013F,,California
014,,1345|1732|1733|1830|1952,014B|014A|014C|014E|014D,,California
015,,338|361|992|1831|1832|1953,015B|015A|015D|015C|015E|015F,,California
016,,116|1833|1834|1835,016E|016B|016C|016D,,California
017,CCA Conspiracy,2|422|444|554|1238|1268,017B|017A|017D|017E|017C|017F,Canyon Crest Academy Math Team,California
018,,894|1836|1912|1913,018E|018F|018B|018C,,California
019,,1837|1838|1839|1840,019B|019C|019D|019F,,
020,,1914,020A,,California
021,,1841|1842|1954,021C|021F|021D,,California
022,,1843,022A,,New Jersey
023,,1844,023F,,
025,,1845,025D,,California
026,,1846|1847,026A|026E,,California
027,MSJ A,971|978|1222|1262|1848|1849,027A|027E|027F|027C|027B|027D,MSJ Math Club,California
028,,1734|1850|1851|1937|1955,028A|028B|028C|028D|028E,,California
029,,1735|1797|1925,029B|029A|029C,,
030,Lynbrook Purple,357|665|907|1205|1431|1915,030B|030D|030F|030C|030E|030A,Lynbrook HS,California
031,Lynbrook Black,1736|1737|1821|1956,031A|031D|031C|031E,Lynbrook HS,California
032,Random Math Team D,1738|1739|1740|1741|1938,032A|032B|032D|032E|032C,Random Math,California
033,Random Math Team C,247|397|1286|1742|1798|1819,033F|033D|033B|033A|033E|033C,Random Math,California
034,Random Math Team B,19|38|211|319|365|1852,034B|034D|034A|034E|034C|034F,Random Math,California
