team_id,team_name,student_ids,state
1,AlphaStar Rhombicosidodecahedrons,25|99|482,California
2,Dfs,874,Texas
3,Florida Alligators,45|244,Florida
4,Lexington Alpha,242,Massachusetts
5,Lexington Beta,50|263,Massachusetts
6,Lexington Delta,308,Massachusetts
7,Lexington Gamma,223,Massachusetts
8,Motown All-Stars,47,Michigan
9,NoCoastBestCoast,876,
10,PATiger2022,1202,Pennsylvania
11,Texas Ampere,8|67|229|254,Texas
12,Texas Bernoulli,875,Texas
13,The Jigglypuff Invaded,3,New Hampshire
14,UTS Cyan,57,
15,xor,34|112|275,Ohio
