Country Name,Country Code,Contestant,P1,P2,P3,P4,P5,P6,Total,Award,Rank
Hungary,HUN,Simon László Bence,7,7,7,7,7,0,35,Gold medal,1
United States of America,USA,Zhang Qiao,7,7,7,7,7,0,35,Gold medal,2
United States of America,USA,Tang Linus,7,7,7,6,7,0,34,Gold medal,3
France,FRA,Bouton Anatole,7,7,4,7,7,0,32,Gold medal,4
People's Republic of China,CHN,WANG Haokun,7,7,2,7,7,2,32,Gold medal,5
Romania,ROU,Anghel David-Andrei,7,7,0,7,7,2,30,Gold medal,6
People's Republic of China,CHN,HE Mochen,7,7,0,7,7,2,30,Gold medal,7
United States of America,USA,Wang Allen,7,6,0,7,7,3,30,Gold medal,8
Romania,ROU,Ciurea Pavel,7,7,1,7,7,0,29,Silver medal,9
United States of America,USA,Carratu Andrew,7,7,0,7,7,0,28,Silver medal,10
People's Republic of China,CHN,PENG Zhenqian,7,7,0,7,7,0,28,Silver medal,11
United States of America,USA,Pothapragada Krishna,7,7,0,7,7,0,28,Silver medal,12
United Kingdom,UNK,Zhao Haolin,7,7,6,7,1,0,28,Silver medal,13
Lithuania,TND,Akimov Daniil,7,7,0,7,6,0,27,Silver medal,14
Serbia,SRB,Lapčević Gvozden,7,7,3,7,3,0,27,Silver medal,15
Israel,ISR,Dvora Raz,7,2,2,7,7,2,27,Silver medal,16
Israel,ISR,Shamir Hayim David,7,7,0,7,5,0,26,Silver medal,17
Israel,ISR,Nir Itamar,7,7,2,7,3,0,26,Silver medal,18
United States of America,USA,Fox Hannah,7,7,3,7,1,0,25,Silver medal,19
Bulgaria,BGR,Markovich Vesselin,7,7,2,7,2,0,25,Silver medal,20
Israel,ISR,Tamari Nadav Dan,7,7,2,7,2,0,25,Silver medal,21
Bulgaria,BGR,Stefanov Andrey,6,7,2,7,2,1,25,Silver medal,22
Italy,ITA,Botticella Raffaele,7,7,0,7,3,0,24,Bronze medal,23
United Kingdom,UNK,King Isaac,7,7,2,7,1,0,24,Bronze medal,24
Romania B,ROU B,Vila Andrei,7,0,2,7,7,1,24,Bronze medal,25
France,FRA,Bidallier Serge,7,6,2,7,2,0,24,Bronze medal,26
Israel,ISR,Budnik Yotam,7,7,0,7,2,0,23,Bronze medal,27
France,FRA,Ramondou Auguste,7,2,0,7,7,0,23,Bronze medal,28
Hungary,HUN,Szakács Ábel,7,7,0,7,2,0,23,Bronze medal,29
France,FRA,Fischler Oscar,7,7,0,7,1,0,22,Bronze medal,30
Romania,ROU,Mitroi Aida,7,1,0,7,7,0,22,Bronze medal,31
Romania B,ROU B,Mărghidan David-Vlad,7,7,0,7,1,0,22,Bronze medal,32
Ukraine,UKR,Potomkina Alisa,7,7,0,7,1,0,22,Bronze medal,33
Romania B,ROU B,Stan Ionuț-Gabriel,7,7,0,7,1,0,22,Bronze medal,34
Israel,ISR,Tanay Alon,7,7,0,7,1,0,22,Bronze medal,35
Ukraine,UKR,Shvaiko Daniil,6,5,0,5,6,0,22,Bronze medal,36
Italy,ITA,Balistri Edoardo,7,7,0,7,0,0,21,Bronze medal,37
Romania,ROU,Chiriță Andrei Giovani,7,0,0,7,7,0,21,Bronze medal,38
France,FRA,Dürrüoglu Pierre-Akin,7,0,0,7,7,0,21,Bronze medal,39
United Kingdom,UNK,Goyal Aanya,7,7,0,0,7,0,21,Bronze medal,40
Romania B,ROU B,Pîrvulescu Gabriela-Mădălina,7,0,0,7,7,0,21,Bronze medal,41
Romania (Tudor Vianu College),VIANU,Rebengiuc Mircea,7,7,0,7,0,0,21,Bronze medal,42
People's Republic of China,CHN,XU Qian,7,0,0,7,7,0,21,Bronze medal,43
Ukraine,UKR,Semyrenskyi Stepan,6,7,0,7,1,0,21,Bronze medal,44
People's Republic of China,CHN,SONG Yanting,5,0,2,7,7,0,21,Bronze medal,45
United Kingdom,UNK,Sturge Samuel,3,7,1,7,3,0,21,Bronze medal,46
France,FRA,Pivron--Djeddi Solal,7,5,0,7,1,0,20,Honourable mention,47
Serbia,SRB,Despotović Novak,7,6,1,6,0,0,20,Honourable mention,48
Israel,ISR,Marcus Omer,6,5,0,7,2,0,20,Honourable mention,49
Bulgaria,BGR,Hristov Marin,7,0,0,7,4,1,19,Honourable mention,50
Hungary,HUN,Varga Boldizsár,7,7,0,4,1,0,19,Honourable mention,51
Bulgaria,BGR,Dimitrova Bilyana,6,5,0,7,1,0,19,Honourable mention,52
United Kingdom,UNK,Griffiths Samuel,7,0,7,3,1,0,18,Honourable mention,53
United Kingdom,UNK,Guan Zijie,7,2,0,7,2,0,18,Honourable mention,54
Israel,ISR,Ilani Netta,7,2,0,7,2,0,18,Honourable mention,55
Romania B,ROU B,Torac-Toma Edward,7,3,0,7,0,0,17,Honourable mention,56
Lithuania,TND,Reffs Vistisen Maia,7,2,0,7,1,0,17,Honourable mention,57
Ukraine,UKR,Pryhunov Volodymyr,2,7,0,7,0,0,16,Honourable mention,58
Romania,ROU,Spătaru Vlad-Titus,7,2,0,7,0,0,16,Honourable mention,59
Ukraine,UKR,Feduniak Stepan,7,7,0,1,1,0,16,Honourable mention,60
