Country Name,Country Code,Contestant Code,Contestant,P1,P2,P3,P4,P5,P6,Total,Award,Extra Awards,Rank
People's Republic of China,CHN,35092,Leyan Deng,7,7,7,7,7,7,42,Gold medal,,1
People's Republic of China,CHN,35751,Che Liu,7,7,7,7,7,7,42,Gold medal,,1
People's Republic of China,CHN,35747,Bolun Zhang,7,7,7,7,7,7,42,Gold medal,,1
Republic of Korea,KOR,35414,Hyeonjun Lee,7,7,7,7,7,7,42,Gold medal,,1
United Kingdom,UNK,30257,Alex Chui,7,7,7,7,7,7,42,Gold medal,,1
United States of America,USA,36000,Liam Reddy,7,7,7,7,7,7,42,Gold medal,,1
United States of America,USA,33503,Alexander Wang,7,7,7,7,7,7,42,Gold medal,,1
Russian Federation,RUS,36274,Arina Prokudina,7,7,6,7,7,7,41,Gold medal,,8
Russian Federation,RUS,36275,Andrey Shishko,7,7,4,7,7,7,39,Gold medal,,9
Singapore,SGP,35964,Boyang Brian Xiao,7,7,4,7,7,7,39,Gold medal,,9
United States of America,USA,35164,Ruilin Wang,7,7,4,7,7,7,39,Gold medal,,9
People's Republic of China,CHN,35752,Zhenqian Peng,7,7,3,7,7,7,38,Gold medal,,12
United States of America,USA,35997,Royce Yao,7,7,4,7,5,7,37,Gold medal,,13
People's Republic of China,CHN,35748,Yuxuan Peng,7,7,7,7,7,1,36,Gold medal,,14
Japan,JPN,34155,Shinjiro Hamakawa,7,7,1,7,7,7,36,Gold medal,,14
Vietnam,VNM,35339,Dinh Tung Nguyen,7,7,7,7,7,1,36,Gold medal,,14
Hungary,HUN,34197,Ábel Szakács,7,2,7,7,5,7,35,Gold medal,,17
India,IND,35510,Abel George Mathew,7,7,0,7,7,7,35,Gold medal,,17
Singapore,SGP,34078,Yihan Yang,7,7,0,7,7,7,35,Gold medal,,17
Italy,ITA,35475,Marcel Stologan,7,7,4,7,7,2,34,Gold medal,,20
Democratic People's Republic of Korea,PRK,35690,Ju Hyon Hwang,6,7,6,6,7,2,34,Gold medal,,20
Slovakia,SVK,33381,Matej Bachniček,7,1,5,7,7,7,34,Gold medal,,20
Bosnia and Herzegovina,BIH,33766,Vuk Janković,7,7,4,7,7,1,33,Gold medal,,23
Israel,ISR,34635,Yotam Budnik,7,2,7,7,7,3,33,Gold medal,,23
Japan,JPN,35260,Shogo Ando,7,1,4,7,7,7,33,Gold medal,,23
