team_id,team_name,student_ids,state
1,Motown All-Stars,47|59,
2,Pi Pioneer Group 001,351,
3,AlphaStar Academy AIR,21|25|81,
4,Essential Academy1,54,
5,Florida Alligators,20|32,
6,Lehigh Valley Fire,1|57,
7,ORIGINAL,64|355|356,
8,Texas Momentum A,80,
9,Connecticut Cyborgs,86,
10,Thomas Jefferson High School for Science and Technology A,29|77,
11,Utah Arches,4,
12,PRISMS Falcons,326,
13,MN gold,352|363,
14,WWP A,354,
15,PEA Chestnuts,27|62|353,
16,Upstate New York Math Team,317,
17,QingLong,53|55,
18,AlphaStar Academy FIRE,357|358,
19,dinglebinglers,12|343,
20,Think Team A,74,
21,Random Math Team Blue,38|365,
22,Cardigans,31,
23,Lexington Alpha,35|50|65,
24,Harker Omega,19,
25,Pentagon Hexagon Oregon B,359,
26,Washington Gold 1,7|638,
27,Ontario Math Circles,360,
28,San Diego A1,2|361|366,
29,Ohio ARML A,362,
30,Texas Momentum B,364,
31,Phillips Academy 1778,97,
