team_id,team_name,student_ids,state
1,Motown All-Stars,47|59|246|821|1243,Michigan
2,MH Math Knights Bulbasaur,132,New Jersey
3,MathSchool 1,220|851|1254|2393,
4,Knights A,277|362|836,
5,Pingry Blue Team,407|768|1055,
6,the snorlaxes,77|235|284,Virginia
7,Karkaboingus,70|2386,
8,DMV Math Circle Sigma,252|262|311|2392,
9,Poolesville C,711,Maryland
10,skibidi six,45,Florida
11,Dallas Math Circle,102|1044|1077|1483,
12,petTheSkibidi,29,Virginia
13,Lexington Muztaba 3rd Parties,223|263|2394,Massachusetts
14,Westchester Area Math Circle A,817,Connecticut
15,Mass ARML Stars,272,Massachusetts
16,Mass ARML Suns,86|1279,Connecticut
17,Lexington Muztaba,65|242|304|905|2396,Massachusetts
18,McLean A,1223,Virginia
19,Maryland United A,218|318|320|1006|1612,Maryland
20,Saxons,917|2399|2400,
21,ABML,516|712|1579,Massachusetts
22,Small L Club,2379,
23,Plano West,2380,Texas
24,Westchester Area Math Circle B,317,New York
25,ICAE2,1454|2402,Michigan
26,Pirates B,259,New Jersey
27,PRISMS Falcons,109|798|1531|2389,New Jersey
28,Pirates A,243|2382,
29,OSS ORCAS Team 1,1618|2387,Washington
30,Big L Club,809,New Jersey
31,We Math Goodly,278|1625,Maryland
32,Petunia,6261,
33,The Skibidiest Sigmas,275,Iowa
34,Phillips Academy,301|1528,Massachusetts
35,CO Mathletes,2383,Colorado
36,Le club mathematique de River Hill,2384,Maryland
37,PHS Apricot,7025|1084,
38,Green Hamsters,2385|2391,New Jersey
39,D1 Moggers,1469,Michigan
40,Lexington Muztaba's Opps,35|120|830|1203,Massachusetts
41,Multivariants,2388,
42,NDHS,2390,New York
43,MathSchool 2,2340,
44,Pirates C,290|354,
45,MH Math Knights Treecko,1162,California
46,Cheshire Cats,2395,Connecticut
47,BMT,1455,Massachusetts
48,McLean B,925,Virginia
49,DMV Math Circle Alpha,2397,Virginia
50,Moco Rockets,2398,Maryland
51,Doral Academy Team 1: Koski's Congregation,2401,Florida
52,In Keith we Trust,226,Florida
53,Dallas Individuals 2,914,Texas
54,ICAE4,2403,
55,Team Tau,2404|2405,
