team_id,team_name,student_ids,state
1,Texas Momentum A,151|173|174|1195|1502,
2,Washington Gold 1,107|138,
3,Florida Alligators,93|145,
4,MN All-State Math Team 1 - Gold,187|194|1500,
5,San Diego A1,155,
6,Tin Man,175|179|1497,
7,Motown All Stars,119|177,
8,Pleasanton A,199|1499,
9,AlphaStar Academy FIRE,90|122,
10,EddieSolo,198,
11,AlphaStar Academy AIR,135|183|452|828,
12,Harker Omega,1293|1490,
13,Lehigh Valley Fire,139|1196,
14,Lehigh Valley Ice,1|62|103,
15,Lexington Alpha,144|1491,
16,Spice,1109|1492,
17,University of Toronto Schools A,1493,
18,Pentagon Hexagon Oregon A,149|1494,
19,Ontario Math Circles,449,
20,Mathematical Admirers of Chdenmathcounts,1198|1495,
21,Random Math Team C,169|454,
22,AlphaStar Academy EARTH,945|1130,
23,Washington Gold 2,189|638,
24,Washington Gold 3,1496,
25,Wild Boars,1498,
26,Montgomery County Team 1,150,
27,Yellowjackets,451,
28,Orange County Math Circle BrawlphaStars,196|200,
29,San Diego A2,116|444|1501,
30,OHS Pixels Hardcore Team 1,1181,
31,Bergen County Academies Team 1,1438,
32,Scarecrow,1503,
33,Lion,457,
34,No Coast Best Coast,882,
35,Burgas A,154,
36,NNHS Math TeamA,1504,
37,Pirates A,125|215,
38,TJ-A,140|201,
39,Western Mass ARML Stars,197,
40,TJ-B,1505,
