team_id,team_name,student_ids,state
1,Essential Academy1,52|54,
2,Lehigh Valley Fire,1|57|132|344,
3,San Diego A1,2|28,
4,Texas Momentum A,46|56|67,
5,Southern California Areteem,68,
6,QingLong,53|55|61|349,
7,BaiHu,60|339,
8,Ohio ARML A,34,
9,Thomas Jefferson High School for Science and Technology A,10|29|70|279,
10,San Diego A2,338,
11,Random Math Team Blue,83,
12,PATiger2022,340,
13,Think Team A,341,
14,Tin Man,307,
15,IowaCity,82,
16,No Coast Best Coast,342,
17,Mass ARML Stars,272,
18,dinglebinglers,343,
19,Nittany Lions,345,
20,BBMC-Math Delta,262,
21,Phillips Academy 1778,97,
22,PEA Chestnuts,62|73,
23,Lexington Alpha,35,
24,Lexington Beta,308,
25,Spirit of Math School Team A,346,
26,nGnu Unscrambled,78|884,
27,121WA,22|348,
28,Harker Omega,19,
29,AlphaStar Academy AIR,9|90,
30,AlphaStar Academy FIRE,69,
31,St. Mark's School of Texas Team M,14|79,
32,MN gold,71,
33,Florida Alligators,20|299,
34,Florida Beaches,244,
