team_id,team_name,student_ids,state
1,Yu's Alligator,134,
2,Florida Alligators,93|145,
3,Washington Gold 1,138|163,
4,Pirates A,125|156,
5,Scarecrow,411|457|465,
6,Lexington Alpha,144|458,
7,Montgomery County Team 1,150,
8,Motown All-Stars,59|451,
9,No Coast Best Coast,136,
10,LV Fire,1|57|103|132|139|160,
11,Bergen County Academies Team 1,92,
12,Pentagon Hexagon Oregon A,149|453,
13,Thomas Jefferson High School for Science and Technology A,148|158,
14,KGSEA Math Circle B,52|464,
15,AlphaStar Academy AIR,81|122|135|452,
16,Gunn Black,162,
17,Random Math Team A,117|454,
18,Texas Momentum A,46|153|455,
19,Tin Man,410|456,
20,San Diego A1,98,
21,Mix BG,459,
22,Ontario Math Circles,460,
23,PEA Lion,142|461,
24,Washington Gold 3,205,
25,Colorado Mathletes,121|462,
26,San Diego A2,463,
27,Blackone,198,
