Country Name,Country Code,Contestant Code,Contestant,P1,P2,P3,P4,P5,P6,Total,Award,Extra Awards,Rank
C05,C05,31700,Galiia Sharafetdinova,7,7,7,7,7,7,42,Gold medal,,1
Japan,JPN,30624,Yuya Oki,7,7,7,7,7,7,42,Gold medal,,1
People's Republic of China,CHN,31450,Cheng Jiang,7,7,7,7,7,7,42,Gold medal,,1
People's Republic of China,CHN,31449,Yubo Liao,7,7,7,7,7,7,42,Gold medal,,1
People's Republic of China,CHN,31451,Jiayu Liu,7,7,7,7,7,7,42,Gold medal,,1
People's Republic of China,CHN,31406,Xiaoyu Qu,7,7,7,7,7,7,42,Gold medal,,1
People's Republic of China,CHN,31448,Zhicheng Zhang,7,7,7,7,7,7,42,Gold medal,,1
People's Republic of China,CHN,31407,Yiran Zhang,7,7,7,7,7,7,42,Gold medal,,1
Ukraine,UKR,30317,Ihor Pylaiev,7,7,7,7,7,7,42,Gold medal,,1
Vietnam,VNM,30437,Quy Dang Ngo,7,7,7,7,7,7,42,Gold medal,,1
Italy,ITA,29973,Matteo Damiano,7,7,6,7,7,7,41,Gold medal,,11
Republic of Korea,KOR,31199,Woojin Choi,7,7,7,7,7,5,40,Gold medal,,12
United States of America,USA,31811,Derek Liu,7,7,5,7,7,7,40,Gold medal,,12
C01,C01,30962,Ivan Bakharev,7,7,7,7,7,4,39,Gold medal,,14
C06,C06,30001,Maksim Turevskii,7,7,7,7,7,4,39,Gold medal,,14
Germany,GER,31093,Samuel Meyer,7,7,7,7,7,4,39,Gold medal,,14
Vietnam,VNM,31913,Viet Hung Pham,6,7,7,7,5,7,39,Gold medal,,14
Republic of Korea,KOR,31197,Gyudong Lee,7,7,7,7,6,4,38,Gold medal,,18
Italy,ITA,29457,Massimiliano Foschi,7,7,2,7,7,7,37,Gold medal,,19
Netherlands,NLD,30906,Casper Madlener,7,7,7,7,5,4,37,Gold medal,,19
Thailand,THA,31064,Vasawat Rawangwong,7,7,7,7,7,2,37,Gold medal,,19
United States of America,USA,29327,Luke Robitaille,7,7,2,7,7,7,37,Gold medal,,19
Canada,CAN,30698,Warren Bei,7,7,1,7,7,7,36,Gold medal,,23
Canada,CAN,28449,Zixiang Zhou,7,7,7,7,7,1,36,Gold medal,,23
Israel,ISR,31059,Omri Zemer,7,7,7,7,7,1,36,Gold medal,,23
Republic of Korea,KOR,31196,Junhwi Bae,7,7,7,7,7,1,36,Gold medal,,23
Romania,ROU,31148,Robert Dragomirescu,7,7,6,7,7,2,36,Gold medal,,23
Taiwan,TWN,31821,Po-Han Wu,7,7,2,7,6,7,36,Gold medal,,23
United Kingdom,UNK,31033,Mohit Hulse,7,7,7,7,7,1,36,Gold medal,,23
United States of America,USA,31809,Kevin Cong,7,7,2,7,7,6,36,Gold medal,,23
United States of America,USA,31807,Eric Shen,7,7,7,7,7,1,36,Gold medal,,23
Brazil,BRA,31281,Olavo Paschoal Longo,7,7,6,7,7,1,35,Gold medal,,32
Bulgaria,BGR,29422,Borislav Kirilov,7,7,5,7,7,2,35,Gold medal,,32
Malaysia,MAS,30481,Wong Jer Ren,7,7,7,7,7,0,35,Gold medal,,32
Romania,ROU,31149,David-Andrei Anghel,7,7,3,7,7,4,35,Gold medal,,32
Thailand,THA,29928,Gongphop Piyakamalanon,7,7,7,7,7,0,35,Gold medal,,32
Thailand,THA,31066,Sarunyu Thongjarast,7,7,1,7,7,6,35,Gold medal,,32
Australia,AUS,31761,Tony Yuzheng Wu,7,7,2,7,7,4,34,Gold medal,,38
Brazil,BRA,31279,Marcelo Machado Lage,7,7,3,7,6,4,34,Gold medal,,38
Hong Kong,HKG,30256,Cheuk Hei Chu,6,7,2,7,5,7,34,Gold medal,,38
India,IND,28249,Pranjal Srivastava,7,7,2,7,7,4,34,Gold medal,,38
Islamic Republic of Iran,IRN,31189,Sina Azizeddin,7,6,6,7,7,1,34,Gold medal,,38
Islamic Republic of Iran,IRN,31954,Pouria Mahmoudkhanshirazi,7,7,2,7,7,4,34,Gold medal,,38
Islamic Republic of Iran,IRN,31192,Mehran Talaei Khajehroshanaei,7,7,2,7,7,4,34,Gold medal,,38
Argentina,ARG,29140,Julián Cabrera,7,7,2,7,7,3,33,Silver medal,,45
Belarus,BLR,30951,Artsiom Mialik,7,7,4,7,5,3,33,Silver medal,,45
Bulgaria,BGR,31857,Marin Hristov,7,7,2,7,6,4,33,Silver medal,,45
C02,C02,31696,Taisiia Korotchenko,7,7,5,7,7,0,33,Silver medal,,45
C03,C03,31698,Roman Kuznetsov,7,7,5,7,6,1,33,Silver medal,,45
Germany,GER,31841,Dmitrii Galatenko,7,7,3,7,7,2,33,Silver medal,,45
Germany,GER,29770,Juri Kaganskiy,7,7,2,7,5,5,33,Silver medal,,45
Israel,ISR,32035,Ori Frankel,7,7,2,7,7,3,33,Silver medal,,45
Israel,ISR,32033,Nogah Friedman,7,7,2,7,7,3,33,Silver medal,,45
Mexico,MEX,29835,Daniel Alejandro Ochoa Quintero,7,7,1,7,7,4,33,Silver medal,,45
Peru,PER,31243,Diego Coronado,7,7,2,7,7,3,33,Silver medal,,45
Poland,POL,31629,Mateusz Gabzdyl,7,7,1,7,7,4,33,Silver medal,,45
Poland,POL,31156,Korneliusz Obarski,7,7,7,7,3,2,33,Silver medal,,45
Taiwan,TWN,31215,Chih-Kai Liao,7,7,2,7,7,3,33,Silver medal,,45
Türkiye,TUR,31654,Mehmet Can Baştemir,7,7,4,7,7,1,33,Silver medal,,45
United States of America,USA,31810,Andrew Gu,7,7,0,7,7,5,33,Silver medal,,45
Hong Kong,HKG,30261,Ching Yan Timothy Yau,7,7,4,7,6,1,32,Silver medal,,61
Indonesia,IDN,31895,Rafael Kristoforus Yanto,7,7,7,7,4,0,32,Silver medal,,61
Kazakhstan,KAZ,30314,Fetullakh Sam,7,7,2,7,7,2,32,Silver medal,,61
Malaysia,MAS,30743,Loh Kwong Weng,7,7,2,7,5,4,32,Silver medal,,61
Republic of Korea,KOR,32003,Yuchan Jung,7,7,0,7,7,4,32,Silver medal,,61
Saudi Arabia,SAU,30629,Hadi Alaithan,7,7,3,7,7,1,32,Silver medal,,61
United Kingdom,UNK,31985,Benjamin Gillott,7,7,2,7,7,2,32,Silver medal,,61
C04,C04,31699,Denis Mustafin,7,7,2,7,7,1,31,Silver medal,,68
Croatia,HRV,29051,Bernard Inkret,7,7,2,7,6,2,31,Silver medal,,68
Hong Kong,HKG,31938,Chong Ho Hsieh,7,7,2,7,7,1,31,Silver medal,,68
Japan,JPN,31607,Ryunosuke Kitamura,7,7,2,7,7,1,31,Silver medal,,68
Mexico,MEX,29834,Omar Farid Astudillo Marbán,7,7,1,7,7,2,31,Silver medal,,68
Peru,PER,30446,Carla Fermin,7,7,1,7,7,2,31,Silver medal,,68
Peru,PER,30505,Yohan Min,7,7,2,7,7,1,31,Silver medal,,68
Poland,POL,30192,Kosma Kasprzak,7,7,2,7,7,1,31,Silver medal,,68
Republic of Korea,KOR,32004,Youngbeom Jin,7,7,3,7,7,0,31,Silver medal,,68
Republic of Korea,KOR,30360,Donghyun Kim,7,7,2,7,7,1,31,Silver medal,,68
Romania,ROU,31133,Andrei-Giovani Chiriţă,7,6,2,7,7,2,31,Silver medal,,68
Romania,ROU,31150,Andrei Moldovan,7,7,2,7,7,1,31,Silver medal,,68
Romania,ROU,32105,Vlad-Titus Spătaru,7,7,2,7,7,1,31,Silver medal,,68
Serbia,SRB,32121,Gvozden Lapčević,7,7,2,7,7,1,31,Silver medal,,68
Singapore,SGP,31602,Wenhao Cheng,7,7,0,7,7,3,31,Silver medal,,68
United Kingdom,UNK,30257,Alex Chui,7,7,2,7,7,1,31,Silver medal,,68
Armenia,ARM,31183,Ruben Hambardzumyan,7,7,1,7,7,1,30,Silver medal,,84
Belarus,BLR,31942,Matsvei Zorka,7,7,1,7,7,1,30,Silver medal,,84
Bulgaria,BGR,30236,Martin Kopchev,7,7,1,7,7,1,30,Silver medal,,84
Canada,CAN,30832,Kevin Min,7,7,2,7,7,0,30,Silver medal,,84
Canada,CAN,31974,Kaixin Wang,7,7,2,0,7,7,30,Silver medal,,84
El Salvador,SLV,30449,Fernando Daniel Domínguez Castaneda,7,7,2,7,7,0,30,Silver medal,,84
Germany,GER,29772,Christian Noaghiu,7,7,2,7,7,0,30,Silver medal,,84
Greece,HEL,31048,Prodromos Fotiadis,7,7,2,7,7,0,30,Silver medal,,84
Hungary,HUN,30856,Tamás Kovács,7,7,2,7,3,4,30,Silver medal,,84
Islamic Republic of Iran,IRN,31957,Danial Parnian,7,7,2,7,7,0,30,Silver medal,,84
Islamic Republic of Iran,IRN,31959,Seyed Mobin Razavi,7,7,2,7,7,0,30,Silver medal,,84
Israel,ISR,32036,Itamar Nir,7,7,1,7,7,1,30,Silver medal,,84
Israel,ISR,31060,Yair Shoham,6,7,1,7,7,2,30,Silver medal,,84
Italy,ITA,32100,Luca Sartori,7,7,2,7,6,1,30,Silver medal,,84
Japan,JPN,31605,Shuto Arai,6,7,2,7,7,1,30,Silver medal,,84
Japan,JPN,30607,Tasuku Imoto,7,7,1,7,6,2,30,Silver medal,,84
Japan,JPN,31608,Takumi Sannomiya,7,7,2,7,6,1,30,Silver medal,,84
Kazakhstan,KAZ,30322,Tair Satubaldin,7,7,1,7,7,1,30,Silver medal,,84
Mongolia,MNG,31931,Bilguudei Shinezul,7,7,0,7,7,2,30,Silver medal,,84
Poland,POL,31635,Marek Zbysiński,7,7,2,7,7,0,30,Silver medal,,84
Romania,ROU,31138,Radu-Andrei Lecoiu,7,7,2,7,7,0,30,Silver medal,,84
Saudi Arabia,SAU,29163,Marwan Alkhayat,7,7,2,7,6,1,30,Silver medal,,84
Serbia,SRB,30714,Mateja Vukelić,7,7,1,7,7,1,30,Silver medal,,84
Taiwan,TWN,31212,Yi-Hsiang Chiao,7,7,2,7,7,0,30,Silver medal,,84
