team_id,team_name,student_ids,state
1,AlphaStar Academy AIR,81|118|135,California
7,Florida Alligators,93|145|159,Florida
8,Gunn Black,162|164|166,California
11,KGSEA Math Circle B,52,Korea
12,LV Fire,1|57|103|132|139|160|171,New Jersey
14,Lexington Alpha,144|147,Massachusetts
17,Mix BG,154,Bulgaria
18,Montgomery County Team 1,150,Maryland
19,Motown All-Stars,59,Michigan
21,No Coast Best Coast,136|170,Illinois
22,No Coast Best Coast 2,167,Illinois
24,PEA Lion,142|165,New Hampshire
25,PEA Red,27,New Hampshire
26,Pentagon Hexagon Oregon A,149,Oregon
27,Pirates A,125|156,New Jersey
28,Poolesville Magnet High School Math Team A,161|172,Maryland
29,Random Math Team A,117|141|169,California
31,San Diego A1,2|98|116|155,California
35,Texas Momentum A,46|137|151|153,Texas
37,Thomas Jefferson High School for Science and Technology A,140|148|158,Virginia
39,Washington Gold 1,138|163,Washington
41,Yu's Alligator,134,New Jersey
