team_id,team,student_ids,state
1,Sierra Canyon School,96|1691,California
2,Westchester Area Math Circle,86|425|1445|1689,New York
3,Clarke Middle School Math Team,65|242|321|1692,Massachusetts
4,Western PA Math 1,123|1681|1695,Pennsylvania
5,PRISMS Falcons,61|85|291|1191|1654|1132,New Jersey
6,Montgomery County Team 1 November,542|544,Maryland
7,duPont Manual High School Red,1231,Kentucky
8,Texas Tornado,56|67|7034|1227|1683|1714,Texas
9,Lexington Gamma,1571|1684,Massachusetts
10,Albany Area Math Circle Cardinals,1685|1702|1713,New York
11,Populus-1,23,Virginia
12,Pingry A,407|1511|1686,New Jersey
13,Individuals 2,320,Maryland
14,CRLS Team One,1134,Massachusetts
15,Gunn Black,955|1693|1700|1699,California
16,Taipei Math Team,1687,
17,Westford Academy,296|445,Massachusetts
18,The Punching Protractors,1688,
19,Wayland High,1639,Massachusetts
20,Lollipop Guild,289|1690,
21,Texas Academy of Math and Science A,1381|1663,Texas
22,Russian School of Mathematics Team A,830|1254,Massachusetts
23,PRISMS Young Falcons,1634|1698,New Jersey
24,Lexington Gigachads,1694|1696,Massachusetts
25,The Mathematicals,516,Massachusetts
26,Texas Thunder,254,Texas
27,Knights Gold,1697,Massachusetts
33,LS Math Team,1662,
34,Bonnie Branch Math Circle-Foxfort,311,
35,Mathletes of GBN,1703|1708,
36,Belmont i,1704,
37,Western PA Math 2,1705,
38,Raritan Valley Math Team - Newton,1706|1707,
40,Emma Willard School (Jesters),1709,
41,St. Paul's School,1603,
42,Russian School of Mathematics Team B,1710,
43,Individuals 1,1711,
44,Garnet Valley Math Team 1,1712,
