team_id,team_name,student_ids,state
1,Lehigh Valley Fire,1,
2,Essential Academy1,52|54,
3,Texas Momentum A,46|56,
4,QingLong,53|55|61,
5,AlphaStar Academy AIR,25|58|331,
6,BaiHu,60,
7,Thomas Jefferson High School for Science and Technology A,10|29|70|279,
8,Florida Alligators,40|45|72,
9,Random Math Team Blue,38|211,
10,Lexington Alpha,65|324,
11,San Diego A1,2|28,
12,Utah Arches,4|76,
13,MN gold,71,
14,Washington Gold 1,7|205|303|325,
15,PRISMS Falcons,85|326,
16,PEA Chestnuts,62|73,
17,Think Team A,74,
18,Harker Omega,327,
19,Athemath Owls,328,
20,St. Mark's School of Texas Team M,79,
21,Motown All-Stars,47|59|329,
22,Southern California Areteem,330,
23,Harker Sigma,332,
24,AlphaStar Academy FIRE,69,
25,Tin Man,307,
26,XuanWu,333,
27,Individuals 1,334,
28,Ontario Math Circles,335,
29,StoneCity 01,336,
30,Upstate New York Math Team,337,
31,Ohio ARML A,34,
