team_id,team_name,student_ids,state
1,Florida Alligators,20|45,
2,AlphaStar Academy AIR,9|21|25|385,
3,All Aces Dream,8|13,
4,QingLong,18|390,
5,PEA Chestnuts,3|37,
6,NC School of Science & Math - Team alpha,12,
7,LV Fire,1,
8,Thomas Jefferson High School for Science and Technology A,10|29|77|284,
9,Bergen County Academies Team 1,225,
10,Bonnie Branch Math Circle Delta,23,
11,No Coast Best Coast,11,
12,Washington Gold 2,22,
13,San Diego A1,2|28,
14,Leading Aces Academy 1,5|3661,
15,Utah Arches,4,
16,Mad Hatter,289,
17,Ohio ARML B,34,
18,Washington Gold 1,7|43,
19,Phillips Academy 1778,15,
20,West Best,386,
21,Desert Storm 2025,387,
22,LV Ice,388|393,
23,Texas Momentum A,49,
24,Cardigans,31,
25,Lexington Alpha,50,
26,Oregon HMMT A,359|389,
27,121WA,373|394,
28,dinglebinglers,391,
29,Maryland United,318,
30,Kentucky Math Circle,392,
31,St. Mark's School of Texas Team M,14,
32,Georgia Mathletes A,48,
33,Texas Momentum B,16,
34,Harker Omega,19,
35,MathChicago,323|395,
36,Motown All-Stars-A,246,
37,MN gold,6|352,
38,Areteem Institute,396,
