team_id,team_name,student_ids,state
1,AlphaStar Academy AIR,90|99,
2,Beijing Loong,53|55|100|106|109,
3,Florida Alligators,40|45|72|93|115|286,
4,Individuals 4,95,
5,Lehigh Valley Fire,1|91|103,
6,AlphaStar Academy FIRE,25,
7,Thomas Jefferson High School for Science and Technology A,10,
8,Exeter Red,3|62|73,
9,Individuals 1,127,
10,No Coast Best Coast,110|112|170,
11,Connecticut Cyborgs,86|89|399,
12,San Diego A1,2|116,
13,Mathsyyds,124,
14,Washington Gold 1,138,
15,Tin Man,102,
16,Lexington Alpha,120|147|273,
17,Motown All-Stars,59|119,
18,Individuals 7,117,
19,Random Math Team Green,397,
20,Texas Momentum A,56|80,
21,Cougars B,105|405,
22,Bergen County Academies Team 1,92,
23,Individuals 6,123|398,
24,Texas Momentum C,13|213|229,
25,Phillips Academy 1778,97,
26,Montgomery County Team 1,400,
27,Hotchkiss Indigo,126,
28,Clever Operators,401|402,
29,Retro Salad,76,
30,KGSEA Math Circle,403,
31,Florida Beaches,20,
32,St. Mark's School of Texas Team M,404,
33,nnGu Rearranged,164,
