Country Name,Country Code,Contestant Code,Contestant,P1,P2,P3,P4,P5,P6,Total,Award,Extra Awards,Rank
People's Republic of China,CHN,33050,Haojia Shi,7,7,7,7,7,7,42,Gold medal,,1
People's Republic of China,CHN,33035,Chunji Wang,7,7,7,7,7,7,42,Gold medal,,1
Republic of Korea,KOR,31196,Junhwi Bae,7,7,7,7,7,7,42,Gold medal,,1
Romania,ROU,31149,David-Andrei Anghel,7,7,7,7,7,7,42,Gold medal,,1
United States of America,USA,31811,Derek Liu,7,7,7,7,7,7,42,Gold medal,,1
People's Republic of China,CHN,33038,Xingjian Liang,7,7,7,7,7,6,41,Gold medal,,6
People's Republic of China,CHN,33039,Xinliang Zhang,7,7,7,7,7,6,41,Gold medal,,6
United States of America,USA,33503,Alexander Wang,7,7,7,7,7,6,41,Gold medal,,6
Canada,CAN,30698,Warren Bei,7,7,7,7,7,5,40,Gold medal,,9
Republic of Korea,KOR,31199,Woojin Choi,7,5,7,7,7,7,40,Gold medal,,9
People's Republic of China,CHN,33036,Qiao Sun,7,7,7,7,7,4,39,Gold medal,,11
C11,C11,33845,Aleksandr Gnusov,7,7,7,7,7,2,37,Gold medal,,12
C16,C16,33850,Alisa Volkova,7,7,7,7,7,2,37,Gold medal,,12
India,IND,31722,Arjun Gupta,7,7,7,7,7,2,37,Gold medal,,12
India,IND,31725,Atul Shatavart Nadig,7,7,7,7,7,2,37,Gold medal,,12
Japan,JPN,31607,Ryunosuke Kitamura,7,7,7,7,7,2,37,Gold medal,,12
Mexico,MEX,31780,Rogelio Guerrero Reyes,7,7,7,7,7,2,37,Gold medal,,12
Republic of Korea,KOR,31197,Gyudong Lee,7,7,7,7,7,2,37,Gold medal,,12
Singapore,SGP,31601,Hao Xiang Gabriel Goh,7,7,7,7,7,2,37,Gold medal,,12
United States of America,USA,33499,Huaye Jeff Lin,7,7,7,7,7,2,37,Gold medal,,12
United States of America,USA,31807,Eric Shen,7,7,7,7,7,2,37,Gold medal,,12
Vietnam,VNM,31913,Viet Hung Pham,7,7,6,7,7,3,37,Gold medal,,12
Bulgaria,BGR,31857,Marin Hristov,7,7,7,7,6,2,36,Gold medal,,23
C13,C13,33847,Ratibor Koptilin,7,7,7,7,7,1,36,Gold medal,,23
C14,C14,33848,Roman Kuznetsov,7,7,7,7,7,1,36,Gold medal,,23
Italy,ITA,32100,Luca Sartori,7,7,7,7,7,1,36,Gold medal,,23
Romania,ROU,31150,Andrei Moldovan,7,7,7,7,2,6,36,Gold medal,,23
Australia,AUS,29719,Zian Shang,7,7,7,7,7,0,35,Gold medal,,28
C12,C12,33846,Eldar Khisamutdinov,7,7,7,7,7,0,35,Gold medal,,28
Greece,HEL,31650,Georgios Tzachristas,7,7,7,7,7,0,35,Gold medal,,28
Hong Kong,HKG,30256,Cheuk Hei Chu,7,7,7,7,5,2,35,Gold medal,,28
Islamic Republic of Iran,IRN,33294,Ehsan Heidari,7,7,7,7,7,0,35,Gold medal,,28
Israel,ISR,32036,Itamar Nir,7,7,7,7,5,2,35,Gold medal,,28
Japan,JPN,33067,Tanoshi Furuya,7,7,7,7,7,0,35,Gold medal,,28
Malaysia,MAS,30481,Jer Ren Wong,7,7,7,7,7,0,35,Gold medal,,28
Mongolia,MNG,30305,Enerelt Delgerdalai,7,7,7,7,7,0,35,Gold medal,,28
People's Republic of China,CHN,33037,Zhicheng Jiang,7,7,7,7,7,0,35,Gold medal,,28
Republic of Korea,KOR,32004,Youngbeom Jin,7,7,7,7,7,0,35,Gold medal,,28
Switzerland,SUI,29872,Mathys Douma,7,7,7,7,7,0,35,Gold medal,,28
Taiwan,TWN,33551,En-Hua Chiang,7,7,7,7,7,0,35,Gold medal,,28
Thailand,THA,31910,Tayakorn Suwanich,7,7,7,7,7,0,35,Gold medal,,28
United Kingdom,UNK,30257,Alex Chui,7,7,7,7,7,0,35,Gold medal,,28
United States of America,USA,33504,Alex Zhao,7,7,7,7,7,0,35,Gold medal,,28
Vietnam,VNM,33700,An Thinh Nguyen,7,7,5,7,7,2,35,Gold medal,,28
Romania,ROU,33637,Pavel Ciurea,7,7,7,7,6,0,34,Gold medal,,45
Brazil,BRA,33211,Matheus Alencar de Moraes,7,7,5,7,7,0,33,Gold medal,,46
Georgia,GEO,31784,Davit Kldiashvili,7,7,7,7,4,1,33,Gold medal,,46
Romania,ROU,31133,Andrei-Giovani Chiriță,7,7,7,7,2,3,33,Gold medal,,46
Romania,ROU,31148,Robert Dragomirescu,7,7,7,7,5,0,33,Gold medal,,46
Hungary,HUN,33259,László Bence Simon,7,7,4,7,7,0,32,Gold medal,,50
North Macedonia,MKD,30465,Damjan Davkov,7,7,7,7,2,2,32,Gold medal,,50
Singapore,SGP,33234,Keyn-Hantz Edden Chew,7,7,4,7,7,0,32,Gold medal,,50
Türkiye,TUR,31654,Mehmet Can Baştemir,7,7,1,7,7,3,32,Gold medal,,50
United Kingdom,UNK,31034,Isaac King,7,7,4,7,7,0,32,Gold medal,,50
Austria,AUT,30938,Martin Bierbaumer,7,7,3,7,7,0,31,Silver medal,,55
Canada,CAN,33429,Marvin Mao,7,7,3,7,7,0,31,Silver medal,,55
Canada,CAN,33427,Ming Yang,7,7,1,7,7,2,31,Silver medal,,55
Germany,GER,29770,Juri Kaganskiy,7,7,7,7,3,0,31,Silver medal,,55
Greece,HEL,31649,Panagiotis Liampas,7,7,3,7,7,0,31,Silver medal,,55
Japan,JPN,33069,Satoshi Kano,7,7,3,7,7,0,31,Silver medal,,55
Kazakhstan,KAZ,32026,Miron Yurkevich,7,7,7,7,3,0,31,Silver medal,,55
Mexico,MEX,29834,Omar Farid Astudillo Marbán,7,7,7,7,3,0,31,Silver medal,,55
Peru,PER,33821,Juan Mathius Tasayco,7,7,3,7,7,0,31,Silver medal,,55
Republic of Korea,KOR,33611,Jihoo Lee,7,7,7,7,3,0,31,Silver medal,,55
