Country Name,Country Code,Contestant,P1,P2,P3,P4,P5,P6,Total,Award,Rank
Romania,ROU,Anghel David-Andrei,7,3,0,7,7,7,31,Gold medal,1
United States of America,USA,Wang Alexander,7,7,3,7,0,7,31,Gold medal,2
Israel,ISR,Nir Itamar,7,7,1,7,0,7,29,Gold medal,3
United States of America,USA,Lin Huaye,7,7,3,7,0,5,29,Gold medal,4
United States of America,USA,Lu Maximus,7,7,3,7,3,0,27,Gold medal,5
Bulgaria,BGR,Tagarev Ivan,7,7,0,7,0,5,26,Gold medal,6
United States of America,USA,Zhao Alex,7,3,2,7,6,0,25,Gold medal,7
Israel,ISR,Friedman Nogah,2,7,1,7,0,7,24,Gold medal,8
Hungary,HUN,Németh Márton Tamás,7,2,0,7,0,7,23,Silver medal,9
Israel,ISR,Frankel Ori,7,3,1,3,2,7,23,Silver medal,10
GEO,GEO,Kldiashvili Davit,5,7,0,2,7,1,22,Silver medal,11
Serbia,SRB,Lapčević Gvozden,7,3,0,3,6,3,22,Silver medal,12
United States of America,USA,Bu Alan,7,7,0,7,0,0,21,Silver medal,13
Israel,ISR,Spira Avner,2,7,0,3,2,7,21,Silver medal,14
Romania,ROU,Chiriță Andrei-Giovani,3,1,2,7,3,5,21,Silver medal,15
Romania,ROU,Dragomirescu Robert,7,3,2,7,0,1,20,Silver medal,16
Israel,ISR,Yacouel Assaf,7,3,1,1,0,7,19,Silver medal,17
Italy,ITA,Sartori Luca,6,2,0,7,4,0,19,Silver medal,18
Ukraine,UKR,Henyk Polina,7,4,0,0,0,7,18,Silver medal,19
Romania,ROU,Lecoiu Radu-Andrei,7,0,0,7,3,1,18,Silver medal,20
Serbia,SRB,Vukelić Mateja,7,1,0,7,3,0,18,Silver medal,21
Hungary,HUN,Simon László Bence,7,3,0,7,0,0,17,Bronze medal,22
Israel,ISR,Amir Yotam,1,7,0,0,2,7,17,Bronze medal,23
United Kingdom,UNK,King Isaac,7,7,0,1,2,0,17,Bronze medal,24
United States of America,USA,Wu Kevin,7,2,0,7,1,0,17,Bronze medal,25
Ukraine,UKR,Shvaiko Daniil,6,7,1,3,0,0,17,Bronze medal,26
Bulgaria,BGR,Dimitrov Bozhidar,7,0,0,7,2,0,16,Bronze medal,27
Bulgaria,BGR,Drencheva Maria,7,1,0,7,0,1,16,Bronze medal,28
Serbia,SRB,Pantelić Vukašin,7,7,0,1,0,0,15,Bronze medal,29
Romania B,ROU B,Vila Andrei,7,0,0,7,0,1,15,Bronze medal,30
Romania B,ROU B,Turbincă Gabriel,7,0,0,7,0,0,14,Bronze medal,31
Italy,ITA,Foti Simone,6,0,0,7,0,1,14,Bronze medal,32
France,FRA,Tézé Georges,6,1,0,7,0,0,14,Bronze medal,33
Romania B,ROU B,Zaharia Mara-Ioana,6,1,0,7,0,0,14,Bronze medal,34
Lithuania,TND,Nguyen Daniel Pham,6,0,0,7,0,0,13,Bronze medal,35
Romania B,ROU B,Stoleriu Radu-Ionuț,7,5,0,1,0,0,13,Bronze medal,36
United Kingdom,UNK,Li Sida,7,3,0,3,0,0,13,Bronze medal,37
Romania,ROU,Moldovan Andrei,7,3,0,2,0,0,12,Bronze medal,38
Bulgaria,BGR,Hristov Marin,7,3,1,1,0,0,12,Bronze medal,39
France,FRA,Bouton Anatole,2,1,0,7,2,0,12,Bronze medal,40
United Kingdom,UNK,Goyal Aanya,7,1,0,2,2,0,12,Bronze medal,41
Hungary,HUN,Lovas Márton,2,0,1,7,2,0,12,Bronze medal,42
Bulgaria,BGR,Tsachev Nicola,6,4,0,0,2,0,12,Bronze medal,43
Italy,ITA,De Pietri Daniele,7,0,1,3,0,0,11,Bronze medal,44
United Kingdom,UNK,Kavanagh Thomas,7,3,0,1,0,0,11,Bronze medal,45
Romania B,ROU B,Ciurea Pavel,2,0,0,7,2,0,11,Bronze medal,46
Bulgaria,BGR,Noman Iliyas,7,1,0,1,2,0,11,Bronze medal,47
France,FRA,Fischler Oscar,3,7,0,0,0,0,10,Honourable mention,48
Hungary,HUN,Fülöp Csilla,3,0,0,0,0,7,10,Honourable mention,49
