team_id,team_name,student_ids,state
1,Florida Beaches,108,
2,Connecticut Cyborgs,89,
3,Individuals 6,96|123,
4,Beijing Loong,53|100|106,
5,Florida Alligators,93,
6,San Diego A1,98|413,
7,Lehigh Valley Fire,57|91|103|132|300,
8,CA Minmus,406,
9,Bulgaria Mixed,154|420,
10,Texas Momentum A,46|56|80,
11,Exeter Red,3|27|142,
12,Enloe Eagles,8,
13,Lehigh Valley Ice,407,
14,Retro Salad,4,
15,Motown All-Stars,129,
16,DoraAIMEon,408|414,
17,Phillips Academy 1778,97|409,
18,Washington Gold 1,325,
19,AlphaStar Academy AIR,81,
20,Tin Man,410|411|412,
21,Bergen County Academies Team 1,92,
22,Mathsyyds,111,
23,Ontario Math Circles,415,
24,Texas Momentum C,13|213,
25,KGSEA Math Circle,403,
26,Washington Gold 2,416,
27,Northfield Mount Hermon Math Club,417|419,
28,Lexington Alpha,35,
29,Upstate New York Math Team,418,
30,AlphaStar Academy FIRE,9,
31,No Coast Best Coast,110,
