Country Name,Country Code,Contestant,P1,P2,P3,P4,P5,P6,Total,Award,Rank
United States of America,USA,Reddy Liam,7,7,7,7,7,0,35,Gold medal,1
People's Republic of China,CHN,Yang Lecheng,4,7,0,7,7,5,30,Gold medal,2
Romania B,ROU B,Ciobotea Alexandru,7,7,0,7,7,1,29,Gold medal,3
United States of America,USA,Du Jonathan,6,7,0,7,7,0,27,Gold medal,4
People's Republic of China,CHN,He Zhiheng,7,6,0,7,7,0,27,Gold medal,5
Hungary,HUN,Szakács Ábel,7,7,0,7,0,6,27,Gold medal,6
People's Republic of China,CHN,Li Zhecheng,6,7,0,7,1,6,27,Gold medal,7
United States of America,USA,Blitz Grant,7,7,0,7,3,0,24,Gold medal,8
Romania,ROU,Vila Andrei,7,7,0,7,2,0,23,Silver medal,9
United Kingdom,UNK,Goyal Adavya,7,7,0,7,1,1,23,Silver medal,10
People's Republic of China,CHN,Zhou Liheng,6,7,2,7,1,0,23,Silver medal,11
Brazil,BRA,Mathias Machado Alessandro,7,5,0,7,4,0,23,Silver medal,12
United Kingdom,UNK,Lam Kelvin,7,7,0,7,1,0,22,Silver medal,13
Estonia,TBT,Toomet Kaarel,7,0,7,7,0,1,22,Silver medal,14
United States of America,USA,Yang Channing,7,7,0,7,1,0,22,Silver medal,15
Moldova,MDA,Cerlat Marius,7,7,0,7,0,0,21,Silver medal,16
People's Republic of China,CHN,Chen Xiaozhe,7,7,0,7,0,0,21,Silver medal,17
Peru,PER,Gaitan Renato,7,7,0,7,0,0,21,Silver medal,18
Romania,ROU,Ghibu David,7,7,0,7,0,0,21,Silver medal,19
Romania,ROU,Mazare Emanuel,7,7,0,7,0,0,21,Silver medal,20
Bulgaria,BGR,Nakev Damyan,7,7,0,7,0,0,21,Silver medal,21
Israel,ISR,Cohen Michael,7,6,0,7,1,0,21,Silver medal,22
Brazil,BRA,Magalhães Pereira Castello Branco Levi,6,7,0,7,1,0,21,Silver medal,23
France,FRA,Rovinsky Kyrill,7,3,0,7,4,0,21,Silver medal,24
Ukraine,UKR,Horbunov Oleksandr,7,6,0,7,0,0,20,Silver medal,25
Ukraine,UKR,Pryhunov Volodymyr,7,4,0,7,2,0,20,Silver medal,26
Italy,ITA,Stologan Marcel,7,2,0,7,4,0,20,Silver medal,27
Moldova,MDA,Popescu Alin,4,7,0,7,1,1,20,Silver medal,28
Bulgaria,BGR,Nikolov George,7,5,0,7,0,0,19,Bronze medal,29
