team_id,team_name,student_ids,state
1,Random Math Team A,117|141|169,
2,Texas Momentum A,137|151|153|174,
3,AlphaStar Academy AIR,81|118|122|135|447,
4,Thomas Jefferson High School for Science and Technology A,140|148|158|441,
5,No Coast Best Coast,110|136|170,
6,LV Fire,1|57|91|103|132|139|171,
7,Mix BG,154,
8,San Diego A1,2|98|116|155|443|444,
9,St. Mark's Texas A,79,
10,PEA Red,27|353,
11,Washington Gold 1,138|190|448,
12,AlphaStar Academy EARTH,398,
13,Poolesville Magnet High School Math Team A,161|172,
14,KGSEA Math Circle B,52,
15,Montgomery County Team 1,400,
16,KGSEA Korea A,440,
17,PEA Lion,62|73|142|959,
18,Florida Alligators,145,
19,Motown All-Stars,59,
20,Tin Man,442,
21,Lexington Alpha,147,
22,Lexington Beta,50,
23,Texas Momentum B,213,
24,LV Ice,445,
25,San Diego A2,446,
26,Pirates A,125|156,
27,Ontario Math Circles,449,
28,NC School of Science & Math - Team alpha,450,
29,No Coast Best Coast 2,167,
30,Pentagon Hexagon Oregon A,149,
