team_id,team_name,student_ids,state
1,Millburn Mathematical Madpeople,30|2167|2169|2175|2201,New Jersey
2,Jericho A,738|844|1564|2184|2185,New York
3,Not Great Valley,899|2187|2193,
4,Greater Boston,811|841|850|2161|2189,Massachusetts
5,Ridge Mu Alpha Theta,770|993,New Jersey
6,Big L Club,809|1355|1456|2156|2168|2234,
7,Ward Melville Math Team,7024|1521|1539|2342|2347,New York
8,Gunn Math,1056|2143|2165|2170|2198,California
9,Individuals Team 189,6492|861|2157|2179|2180,
10,PRISMS Young Falcons,1272|2146|2254,New Jersey
11,PHS Avocado,754|859|1084|2144|2163|2177,
12,Individuals Team 190,798|866|1092|2145|2346,
13,MH Math Knightmares,2147|2190,New Jersey
14,OSS ORCAS,1618|2183|2202,Washington
15,BCA 2,2148|2158|2255,New Jersey
16,CRH,1475|6256,
17,Pirates B,2149|2162|2178|2344,
18,EightTimesEpsilon,1541|1545|1015|2343,
19,Individuals Team 191,2151|2348,
20,Sierra Canyon School,1962|1963|2186|2191,California
21,Pingry,1055|1623|2152|2164|2182,New Jersey
22,Millburn Mathematical Madpeople 2,1562|2153|2181|2197,New Jersey
23,Small L Club,2154|2200,
24,THE Labubu,672|2155,
25,MHSProfessionalJobbers,1038|2159|2171,New Jersey
26,Knights Y,2160,New York
27,Jericho B,2166|2173|2174|2194|2196,New York
28,Lexington Gamma,1403|1471|1575|1697|2192|2345,Massachusetts
29,PHS Blueberry,2341,New Jersey
30,worse walrus,2349,
31,Tigers,1557,
32,Stoga,2172|2188,Pennsylvania
33,Hotchkiss,1069|2176|2195,Connecticut
34,Arcadia High School A,362,New Jersey
35,Newark Red Team,2199,New Jersey
