team_id,team_name,student_ids,state
1,Florida Alligators,93|115|159,
2,LV Fire,1|57|103|132|139|160,
3,Burgas A,431,
4,Lexington Alpha,144|147,
5,Random Math Team A,141|169|436,
6,PEA Lion,142|165|959,
7,Yu's Alligator,134,
8,Poolesville Magnet High School Math Team A,161,
9,Texas Momentum A,137|151|153|432,
10,KGSEA Math Circle B,52,
11,Gunn Black,164|166,
12,No Coast Best Coast,110|136|170,
13,AlphaStar Academy EARTH,433|439,
14,Thomas Jefferson High School for Science and Technology A,140|148,
15,Motown All-Stars,59,
16,AlphaStar Academy AIR,81|118|135,
17,Mix BG,154|437,
18,San Diego A1,2|155,
19,Raritan Valley Math Team - Euler,434,
20,Pirates A,125|435,
21,Montgomery County Team 1,150,
22,Lexington Beta,273,
23,MG VARNA A,114,
24,KGSEA Korea A,403,
25,Hotchkiss Blue,126,
26,No Coast Best Coast 2,167,
