team_id,team_name,student_ids,state
1,Sierra Canyon School,96|1962|1963|2186|2244,California
2,Pingry Blue,407|1055|2152|2164|2227,
3,Ward Melville Math Team,582|7024|1521|1539|1617|2233,New York
4,Theta Math Club,42|596|844|861|1226|1470|2222,
5,Jericho A,738|2239|2240|2249,New York
6,Arcadia High School,918|928|2221,California
7,Big L,809|1456|2168|2212|2234,
8,MHSProfessionalJobbers,185|1038|2171|2217|2237|2247,
9,PRISMS Young Falcons,1406|1463|2146|2205|2218|2254,New Jersey
10,CRH Math Team,949|1475|2488,
11,Individuals Team 161,30|1078|1558|2165|2209|2251,
12,Not Great Valley,899|2187|2230|2231|2246,Pennsylvania
13,Individuals Team 162,770|805|1046|2206|2208|2223,
14,Millburn Mathematical Madpeople,2169|2175|2201|2207|7023|2253,New Jersey
15,PHS Apricot,7025|754|1084|2216|2242,
16,Pirates B,354|2224,
17,PRISMS Baby Falcons,2236|2241|7018,New Jersey
18,Knights B,1081|2210|2243|2492,
19,Jericho B,2211|2219|2235|2238,New York
20,MathSchool 2,800|1484|1588|2213|2225|2226|2252,
21,Hotchkiss,1069|1461|1652|2228|2248,Connecticut
22,Individuals Team 169,2220,
23,Pingry White Team,1535|2250,New Jersey
24,Individuals Team 160,1631,
25,PHS Blueberry,2144|2229|2245,New Jersey
