team_id,team_name,student_ids,bmt_student_ids,school,state
001,,4362|5620,001E|001B,,
002,,5792|5793|6177,002B|002E|002F,,
003,,5794|5795|5864|5865|5866,003B|003E|003A|003C|003D,,
004,,1871|6010|6055|6207,004B|004D|004E|004C,,
005,,1757|5867|6178,005E|005B|005A,,
006,,5868|5869|6056,006B|006F|006D,,
007,,5796|5797|5870,007A|007B|007C,,
009,,4390|5871|5872|5873,009C|009B|009D|009F,,California
010,,4214|5874,010E|010C,,California
011,Areteem Institute,396|2506|5798|6264,011C|011D|011B|011A,,California
012,,1840|6057,012A|012B,,
013,Rhombicosidodecahedron,912|1037|2597|5749|6011|6058,013A|013B|013E|013D|013C|013F,,
014,,3770|6059,014D|014A,,
015,,4145|5659|5875|6060|6208,015F|015B|015C|015E|015A,,California
016,Pratt is a Bratt,2474|6012|6167|6168|6169|6199,016B|016D|016A|016E|016F|016C,Irvington High School,California
017,,6061|6062|6063,017A|017B|017C,,
018,,6013|6014,018A|018F,,
019,,6015|6064,019A|019C,,
020,,6065,020F,,
021,,6179,021B,,
022,,5049|6066|6180,022C|022E|022D,,California
023,,6067|6068|6209,023A|023D|023C,,
024,,6016|6210,024B|024D,,
026,,6769,026B,,
028,,5876|5877|6069,028A|028E|028F,,
029,,2480|2657|5799,029B|029D|029F,,California
030,,5878,030A,,
031,,5879|6070,031B|031D,,
032,,1024|3603|6017|6071,032A|032B|032C|032D,,Minnesota
033,,5880|5881|6170,033A|033D|033C,,
034,,5882,034A,,
036,,5883,036A,,
037,,6072|6226|6227,037B|037D|037E,,
038,,3488|3758|6073,038D|038E|038B,,
040,,1899|5800|6074|6228|6776,040B|040C|040A|040E|040D,,
041,Davidson Academy A,729|1050|5747|6018|6220|6221,041A|041C|041B|041D|041E|041F,Davidson Academy,California
042,,4127|6075,042E|042C,,Nevada
043,,4025|5801|5884|5885|5886,043D|043B|043A|043C|043E,,California
044,,2418|3674|3707|6076|6211|6212,044F|044D|044B|044A|044C|044E,,
